straat,huisnummer,huisletter,huistoevoeging,woonplaats,postcode,oppervlakte,gebruiksdoel,full_address
President Kennedylaan,14,,,Heerenveen,8442 JJ,65,woonfunctie,President Kennedylaan 14   8442 JJ Heerenveen
Reinaard,12,,,Kollum,9291 AD,139,woonfunctie,Reinaard 12   9291 AD Kollum
Pannenschuurlaan,203,,,Oisterwijk,5061 DM,96,woonfunctie,Pannenschuurlaan 203   5061 DM Oisterwijk
Bloklandstraat,157,,,Rotterdam,3036TH,154,woonfunctie,Bloklandstraat 157   3036TH Rotterdam
Bosjeslaan,48,,,Vlissingen,4382PV,66,woonfunctie,Bosjeslaan 48   4382PV Vlissingen
Vijfhuizenberg,104,a,,Roosendaal,4708AM,445,industriefunctie,Vijfhuizenberg 104 a  4708AM Roosendaal
Putterweg,66,,15,Garderen,3886 PE,-1,,Putterweg 66  15 3886 PE Garderen
Burgemeester Blankenhof,15,,,Lopik,3411 XW,71,woonfunctie,Burgemeester Blankenhof 15   3411 XW Lopik
Teteringsedijk,103,,,Breda,4817 MB,289,bijeenkomstfunctie,Teteringsedijk 103   4817 MB Breda
Cardonpad,1,,,Hoogvliet Rotterdam,3193LJ,63,woonfunctie,Cardonpad 1   3193LJ Hoogvliet Rotterdam
Robert Stolzplantsoen,263,,,'s-Gravenhage,2555 SJ,89,woonfunctie,Robert Stolzplantsoen 263   2555 SJ 's-Gravenhage
Stegeboersweg,19,,,Wierden,7642NP,221,overige gebruiksfunctie,Stegeboersweg 19   7642NP Wierden
Molenstraat,44,,,Lienden,4033AV,108,industriefunctie,Molenstraat 44   4033AV Lienden
Wanmolen,30,,,Hellevoetsluis,3224 BT,117,woonfunctie,Wanmolen 30   3224 BT Hellevoetsluis
Jacoba van Beierenweg,20,c,,Voorhout,2215LB,65,woonfunctie,Jacoba van Beierenweg 20 c  2215LB Voorhout
Theodorus Dobbestraat,20,,,Amsterdam,1063 BV,81,woonfunctie,Theodorus Dobbestraat 20   1063 BV Amsterdam
't Zegeveld,132,,,Egmond aan den Hoef,1934BN,-1,,'t Zegeveld 132   1934BN Egmond aan den Hoef
Scheperseiland,25,,,Eelderwolde,9766VE,258,woonfunctie,Scheperseiland 25   9766VE Eelderwolde
Oosterhofweg,30,,,Rijssen,7461BV,95,woonfunctie,Oosterhofweg 30   7461BV Rijssen
Spiegelstraat,5,,,Zutphen,7201 KA,253,woonfunctie,Spiegelstraat 5   7201 KA Zutphen
Entrepothof,32,,,Amsterdam,1019 DJ,84,woonfunctie,Entrepothof 32   1019 DJ Amsterdam
Kraaienplein,46,,,Amsterdam,1021EG,68,woonfunctie,Kraaienplein 46   1021EG Amsterdam
Kleine Laak,24,,,Roggel,6088CV,595,logiesfunctie,Kleine Laak 24   6088CV Roggel
Lauwers,84,,,Harderwijk,3844 ME,60,woonfunctie,Lauwers 84   3844 ME Harderwijk
Stoofstraat,15,,,Poortvliet,4693RB,130,woonfunctie,Stoofstraat 15   4693RB Poortvliet
Hazelaar,13,,,Hellevoetsluis,3224RB,127,woonfunctie,Hazelaar 13   3224RB Hellevoetsluis
De Witte Raaflaan,75,,,Noordwijk,2204 BK,74,logiesfunctie,De Witte Raaflaan 75   2204 BK Noordwijk
Kamperfoeliestraat,12,,,Almelo,7601EX,108,woonfunctie,Kamperfoeliestraat 12   7601EX Almelo
Pastoor de Kroonstraat,94,,,'s-Hertogenbosch,5211SR,63,woonfunctie,Pastoor de Kroonstraat 94   5211SR 's-Hertogenbosch
Hanrathstraat,38,E,,Rotterdam,3067 TD,47,woonfunctie,Hanrathstraat 38 E  3067 TD Rotterdam
Het Heijderbos,216,,,Heijen,6598 LA,75,logiesfunctie,Het Heijderbos 216   6598 LA Heijen
Ru Parésingel,64,,,Pijnacker,2642 CR,125,woonfunctie,Ru Parésingel 64   2642 CR Pijnacker
Zanddijk,116,,,Rozenburg,3181 HW,110,woonfunctie,Zanddijk 116   3181 HW Rozenburg
Hart van Brabantlaan,728,,,Tilburg,5038 JB,71,woonfunctie,Hart van Brabantlaan 728   5038 JB Tilburg
Anna Paulownalaan,90,,,Zeist,3708 HL,71,woonfunctie,Anna Paulownalaan 90   3708 HL Zeist
Kwartsiet,12,,,Zoetermeer,2719 TC,116,woonfunctie,Kwartsiet 12   2719 TC Zoetermeer
Nieuweweg,102,,,Wijchen,6603 BS,136,industriefunctie,Nieuweweg 102   6603 BS Wijchen
Laan op Zuid,1816,,,Rotterdam,3071 AC,71,woonfunctie,Laan op Zuid 1816   3071 AC Rotterdam
Van Oost-Frieslandstraat,63,,07,Schijndel,5482GV,16,overige gebruiksfunctie,Van Oost-Frieslandstraat 63  07 5482GV Schijndel
Anijsstraat,3,,,Wierden,7641EB,176,woonfunctie,Anijsstraat 3   7641EB Wierden
Lorentzlaan,43,,,Terneuzen,4532KN,92,woonfunctie,Lorentzlaan 43   4532KN Terneuzen
Kobbeflecht,56,,,Hurdegaryp,9254AG,121,woonfunctie,Kobbeflecht 56   9254AG Hurdegaryp
Neijlandstraat,29,,,Westendorp,7054 CP,147,woonfunctie,Neijlandstraat 29   7054 CP Westendorp
Lauder Hokweg,3,,,Sellingen,9551XV,151,woonfunctie,Lauder Hokweg 3   9551XV Sellingen
Braspenningdreef,8,,,Cuijk,5431AM,138,woonfunctie,Braspenningdreef 8   5431AM Cuijk
Dokter Poolstraat,5,,,Hoogwoud,1718 PA,148,woonfunctie,Dokter Poolstraat 5   1718 PA Hoogwoud
Reijdersant,24,,,Emmeloord,8303XN,126,woonfunctie,Reijdersant 24   8303XN Emmeloord
Buttingstraat,118,,,Hoensbroek,6431JH,68,woonfunctie,Buttingstraat 118   6431JH Hoensbroek
Plecht,1,,,Huizen,1276 HG,499,bijeenkomstfunctie,Plecht 1   1276 HG Huizen
Kardemomweg,43,,,Utrecht,3541RJ,124,woonfunctie,Kardemomweg 43   3541RJ Utrecht
Heverleestraat,9,,,Amsterdam,1066 JJ,85,woonfunctie,Heverleestraat 9   1066 JJ Amsterdam
Onder Zeil,17,,,Enkhuizen,1602 HZ,146,woonfunctie,Onder Zeil 17   1602 HZ Enkhuizen
Arkepôlle,2,,,Oudega,9216XG,223,woonfunctie,Arkepôlle 2   9216XG Oudega
Hogenkampsweg,32,,,Zwolle,8022 DH,76,woonfunctie,Hogenkampsweg 32   8022 DH Zwolle
Nieuwe Maasstraat,117,,,Schiedam,3114 TH,71,woonfunctie,Nieuwe Maasstraat 117   3114 TH Schiedam
Ulenpaslaan,37,,,Arnhem,6825 EE,182,woonfunctie,Ulenpaslaan 37   6825 EE Arnhem
Herenstraat,83,E,,Leiden,2313 AG,91,woonfunctie,Herenstraat 83 E  2313 AG Leiden
Jacoba Mosselhof,66,,,Amsterdam,1065WB,101,woonfunctie,Jacoba Mosselhof 66   1065WB Amsterdam
Fresiapad,7,,,Valkenswaard,5551 AL,104,woonfunctie,Fresiapad 7   5551 AL Valkenswaard
Standvoetbeker,7,,,Borger,9531PM,126,woonfunctie,Standvoetbeker 7   9531PM Borger
Bellamystraat,19,C,,Amsterdam,1053BE,53,industriefunctie,Bellamystraat 19 C  1053BE Amsterdam
Langestraat,10,B,,Hilversum,1211 GZ,125,woonfunctie,Langestraat 10 B  1211 GZ Hilversum
Scheldestraat,32,,,Lewedorp,4456 AT,116,woonfunctie,Scheldestraat 32   4456 AT Lewedorp
Hengelolaan,471,,,'s-Gravenhage,2544 KX,108,woonfunctie,Hengelolaan 471   2544 KX 's-Gravenhage
Trompstraat,28,,,Sliedrecht,3361 VX,85,woonfunctie,Trompstraat 28   3361 VX Sliedrecht
Prinses Margrietstraat,10,,,Joure,8501JA,102,woonfunctie,Prinses Margrietstraat 10   8501JA Joure
De Specerij,60,,,Almere,1313 NH,173,woonfunctie,De Specerij 60   1313 NH Almere
Kalkhúswei,30,,,Westergeast,9295 KN,160,woonfunctie,Kalkhúswei 30   9295 KN Westergeast
Prinses Amalia Promenade,228,,,Rijswijk,2284DR,105,woonfunctie,Prinses Amalia Promenade 228   2284DR Rijswijk
Hagedoornstraat,17,,,Heerlen,6417 AP,129,woonfunctie,Hagedoornstraat 17   6417 AP Heerlen
Dammaspolderpad,4,,,Gouda,2807 KX,110,woonfunctie,Dammaspolderpad 4   2807 KX Gouda
Fien de la Marstraat,43,,,Zutphen,7207 GP,139,woonfunctie,Fien de la Marstraat 43   7207 GP Zutphen
De Driesten,29,,,Ermelo,3851DT,95,woonfunctie,De Driesten 29   3851DT Ermelo
Jan Ligthartstraat,47,b,,Lekkerkerk,,18,overige gebruiksfunctie,Jan Ligthartstraat 47 b   Lekkerkerk
Drijffhoutstraat,11,,,Eindhoven,5622 KR,101,woonfunctie,Drijffhoutstraat 11   5622 KR Eindhoven
Maria Wijngaard,417,,,Weert,6001BK,60,woonfunctie,Maria Wijngaard 417   6001BK Weert
Cornelis Trooststraat,77,,H,Amsterdam,1072JD,63,woonfunctie,Cornelis Trooststraat 77  H 1072JD Amsterdam
Veerkade,1,E,,Rotterdam,3016 DE,801,kantoorfunctie,Veerkade 1 E  3016 DE Rotterdam
Goorsebergweg,9,,,Deurne,5752PX,348,industriefunctie,Goorsebergweg 9   5752PX Deurne
Lydie Platestraat,18,,,Voorburg,2274LZ,131,woonfunctie,Lydie Platestraat 18   2274LZ Voorburg
Meeuwensingel,41,,,Rozenburg,3181SK,117,woonfunctie,Meeuwensingel 41   3181SK Rozenburg
Wassenberghstraat,49,a,,Groningen,9718LJ,94,woonfunctie,Wassenberghstraat 49 a  9718LJ Groningen
Zuideinde,53,,,Oostzaan,1511 GB,179,gezondheidszorgfunctie,Zuideinde 53   1511 GB Oostzaan
Meester de Klerkstraat,91,,,Zeist,3701DN,60,woonfunctie,Meester de Klerkstraat 91   3701DN Zeist
H.A. Kooykerplein,1,,,Groningen,9713GT,196,woonfunctie,H.A. Kooykerplein 1   9713GT Groningen
Pruimentuin,5,,,Barendrecht,2991 TP,114,woonfunctie,Pruimentuin 5   2991 TP Barendrecht
Anna van Saksenstraat,35,,,Noord-Scharwoude,1723KR,102,woonfunctie,Anna van Saksenstraat 35   1723KR Noord-Scharwoude
Jacob van Lennepkade,510,,,Amsterdam,1053 MK,-1,,Jacob van Lennepkade 510   1053 MK Amsterdam
Dalweg,21,A,,Hilversum,1217 HX,150,woonfunctie,Dalweg 21 A  1217 HX Hilversum
Korenbloemstraat,5,,,Rheden,6991VN,61,woonfunctie,Korenbloemstraat 5   6991VN Rheden
Kromhoutstraat,198,,,Rotterdam,3067AH,70,woonfunctie,Kromhoutstraat 198   3067AH Rotterdam
Amkemaheerd,325,,,Groningen,9736KA,102,woonfunctie,Amkemaheerd 325   9736KA Groningen
Orlofflaan,35,,,Barneveld,3772WM,118,woonfunctie,Orlofflaan 35   3772WM Barneveld
Lavendelhof,34,,,Zundert,4881GS,46,woonfunctie,Lavendelhof 34   4881GS Zundert
Fûgelleane,21,,,Bolsward,8702 CC,210,woonfunctie,Fûgelleane 21   8702 CC Bolsward
Poirtershoek,14,,,Gemert,5421 TZ,111,woonfunctie,Poirtershoek 14   5421 TZ Gemert
Bloemenlaan,152,,,Sint-Maartensdijk,4695HG,145,woonfunctie,Bloemenlaan 152   4695HG Sint-Maartensdijk
Ootmarsumseweg,211,,,Fleringen,7666NB,103,overige gebruiksfunctie,Ootmarsumseweg 211   7666NB Fleringen
Toussaintstraat,43,,,Rotterdam,3027XW,96,woonfunctie,Toussaintstraat 43   3027XW Rotterdam
Willem de Zwijgerlaan,205,,,Alphen aan den Rijn,2405 VV,83,woonfunctie,Willem de Zwijgerlaan 205   2405 VV Alphen aan den Rijn
De Ruyterstraat,51,,,Zoetermeer,,21,overige gebruiksfunctie,De Ruyterstraat 51    Zoetermeer
Selijnsweg,2,,G1,Waverveen,,7,overige gebruiksfunctie,Selijnsweg 2  G1  Waverveen
Margrietstraat,3,,,Leiden,2316RM,108,woonfunctie,Margrietstraat 3   2316RM Leiden
Bevrijdingstraat,43,,,Ossendrecht,4641BG,143,woonfunctie,Bevrijdingstraat 43   4641BG Ossendrecht
Ierlandstraat,3,,,Haarlem,2034 LL,18,overige gebruiksfunctie,Ierlandstraat 3   2034 LL Haarlem
Houtzagerij,12,,,Waalre,5582 GW,144,woonfunctie,Houtzagerij 12   5582 GW Waalre
Ganzerikveld,35,,,Woerden,3448 GS,78,woonfunctie,Ganzerikveld 35   3448 GS Woerden
Kometenstraat,60,,,Apeldoorn,7314 JZ,80,woonfunctie,Kometenstraat 60   7314 JZ Apeldoorn
Zandkampweg,1,A,,Lunteren,6741DV,162,woonfunctie,Zandkampweg 1 A  6741DV Lunteren
Kerkhoflaan,12,,,Ede,6718 ZJ,123,woonfunctie,Kerkhoflaan 12   6718 ZJ Ede
Grote Staat,49,,,Maastricht,6211 CV,248,winkelfunctie,Grote Staat 49   6211 CV Maastricht
Smitsdijk,31,,,'s-Gravenhage,2497 WP,123,woonfunctie,Smitsdijk 31   2497 WP 's-Gravenhage
Enterij,35,,,Limmen,1906 BX,137,woonfunctie,Enterij 35   1906 BX Limmen
Nieuwstraat,3,a,,Schimmert,6333AN,267,woonfunctie,Nieuwstraat 3 a  6333AN Schimmert
Veilinghavenkade,137,,,Utrecht,3521AT,180,kantoorfunctie,Veilinghavenkade 137   3521AT Utrecht
Hendrik Pieter van Praagstraat,12,,,Oudewater,3421 VZ,75,woonfunctie,Hendrik Pieter van Praagstraat 12   3421 VZ Oudewater
J.E. de Witstraat,1,,,Uitgeest,1911 GS,76,woonfunctie,J.E. de Witstraat 1   1911 GS Uitgeest
Korianderlaan,99,,,Amstelveen,1187 EE,101,woonfunctie,Korianderlaan 99   1187 EE Amstelveen
Mariastraat,205,,,Schiedam,3117 NK,87,woonfunctie,Mariastraat 205   3117 NK Schiedam
Heuvelstraat,32,,,Breda,4813 GA,111,woonfunctie,Heuvelstraat 32   4813 GA Breda
Riouwstraat,87,,,Utrecht,3531CW,67,woonfunctie,Riouwstraat 87   3531CW Utrecht
Vieruitersten,18,,,Meijel,5768RP,510,industriefunctie,Vieruitersten 18   5768RP Meijel
Cornelis Houtmanstraat,24,,,Goes,4461 XZ,94,woonfunctie,Cornelis Houtmanstraat 24   4461 XZ Goes
Eindhovenseweg,11,a,,Steensel,5524AN,194,woonfunctie,Eindhovenseweg 11 a  5524AN Steensel
Zuiderpad,89,,,Zuidoostbeemster,1461 BS,90,woonfunctie,Zuiderpad 89   1461 BS Zuidoostbeemster
Surinameplein,66,,2,Amsterdam,1058GT,73,woonfunctie,Surinameplein 66  2 1058GT Amsterdam
Corellistraat,11,,,Leeuwarden,8915BM,64,woonfunctie,Corellistraat 11   8915BM Leeuwarden
Bernard de la Faillebocht,6,,,Rotterdam,3053 KP,159,woonfunctie,Bernard de la Faillebocht 6   3053 KP Rotterdam
Edama,19,,,Uithuizen,9981ND,556,industriefunctie,Edama 19   9981ND Uithuizen
Stationsstraat,20,B,,Drunen,5151 HB,126,winkelfunctie,Stationsstraat 20 B  5151 HB Drunen
Mercatorstraat,76,,H,Amsterdam,1056 RK,98,winkelfunctie,Mercatorstraat 76  H 1056 RK Amsterdam
Oude Bredasebaan,11,b,,Baarle-Nassau,5111 GA,371,woonfunctie,Oude Bredasebaan 11 b  5111 GA Baarle-Nassau
Dennekoplaan,38,,,IJmuiden,1974 VC,16,overige gebruiksfunctie,Dennekoplaan 38   1974 VC IJmuiden
Het Var,35,,,Leeuwarden,8939BJ,192,woonfunctie,Het Var 35   8939BJ Leeuwarden
Huigendijk,27,,,Rotterdam,3079GH,89,woonfunctie,Huigendijk 27   3079GH Rotterdam
Hondsruglaan,11,,,Eindhoven,5628DA,158,woonfunctie,Hondsruglaan 11   5628DA Eindhoven
Achterloet,8,,,Uitgeest,1911CL,121,woonfunctie,Achterloet 8   1911CL Uitgeest
Havensingel,258,,,Eindhoven,5611 VW,355,woonfunctie,Havensingel 258   5611 VW Eindhoven
Willem-Alexanderstraat,65,,,Nijverdal,7442MZ,66,woonfunctie,Willem-Alexanderstraat 65   7442MZ Nijverdal
Winde,20,,,Zeewolde,3892HE,86,woonfunctie,Winde 20   3892HE Zeewolde
Eilandplein,12,,,Duiven,6922EL,70,woonfunctie,Eilandplein 12   6922EL Duiven
Zeilbergseweg,3,,,Ysselsteyn,5813 AK,140,bijeenkomstfunctie,Zeilbergseweg 3   5813 AK Ysselsteyn
Molenpad,17,,,Willemstad,4797 AH,97,woonfunctie,Molenpad 17   4797 AH Willemstad
Veldpoort,23,,,Swalmen,6071 JK,182,woonfunctie,Veldpoort 23   6071 JK Swalmen
Tilgrupsweg,3,A,,Appelscha,8426 SN,1915,industriefunctie,Tilgrupsweg 3 A  8426 SN Appelscha
Anjerstraat,3,,,Bosschenhoofd,4744AR,90,woonfunctie,Anjerstraat 3   4744AR Bosschenhoofd
Wijngaardstraat,24,,,Made,4921 ZL,206,woonfunctie,Wijngaardstraat 24   4921 ZL Made
Nieuwlandsweg,28,D,,Rijssen,7461VR,13,overige gebruiksfunctie,Nieuwlandsweg 28 D  7461VR Rijssen
Hemmingstraat,39,,,Zutphen,7207RL,127,woonfunctie,Hemmingstraat 39   7207RL Zutphen
Jan van Goyenkade,8,,,Leiden,2311 AX,188,woonfunctie,Jan van Goyenkade 8   2311 AX Leiden
Drierivierenlaan,12,,,Ridderkerk,2983GW,127,woonfunctie,Drierivierenlaan 12   2983GW Ridderkerk
Immanuel Kantstraat,70,,,Rotterdam,3076DK,88,gezondheidszorgfunctie,Immanuel Kantstraat 70   3076DK Rotterdam
Galileistate,95,,,Zandvoort,2041BS,85,woonfunctie,Galileistate 95   2041BS Zandvoort
Kruissteenweg,69,,,Wierden,7642VX,85,woonfunctie,Kruissteenweg 69   7642VX Wierden
Loefzij,140,,,Huizen,1276HP,123,woonfunctie,Loefzij 140   1276HP Huizen
Kattedoorn,19,,,Kampen,8265 MG,105,woonfunctie,Kattedoorn 19   8265 MG Kampen
Hovenierslaantje,6,,,Tiel,4001 HP,123,woonfunctie,Hovenierslaantje 6   4001 HP Tiel
Laagte Kadijk,92,,,Amsterdam,1018BB,61,woonfunctie,Laagte Kadijk 92   1018BB Amsterdam
Van der Pekstraat,83,,1,Amsterdam,1031 CT,68,woonfunctie,Van der Pekstraat 83  1 1031 CT Amsterdam
Vlinderveen,162,,,Spijkenisse,3205 EJ,114,woonfunctie,Vlinderveen 162   3205 EJ Spijkenisse
Saskeroort,3,,,Broek op Langedijk,1721JK,163,woonfunctie,Saskeroort 3   1721JK Broek op Langedijk
Steven Wiegmanlaan,17,,,West-Terschelling,8881 GH,106,woonfunctie,Steven Wiegmanlaan 17   8881 GH West-Terschelling
Kroostweg,9000,,,Zeist,,9,overige gebruiksfunctie,Kroostweg 9000    Zeist
Eduard Flipsestraat,20,,,Hengelo,7558 DS,137,woonfunctie,Eduard Flipsestraat 20   7558 DS Hengelo
Rijstgras,36,,,Rotterdam,3068 CN,122,woonfunctie,Rijstgras 36   3068 CN Rotterdam
Gedempte Burgwal,51,A,,'s-Gravenhage,2512BS,41,woonfunctie,Gedempte Burgwal 51 A  2512BS 's-Gravenhage
Olieslagersstraat,421,,,Roermond,6044 TN,41,woonfunctie,Olieslagersstraat 421   6044 TN Roermond
Ooievaar,162,,,Nieuw-Lekkerland,2957NH,69,woonfunctie,Ooievaar 162   2957NH Nieuw-Lekkerland
Schapendries,34,,,Eersel,5521LH,47,woonfunctie,Schapendries 34   5521LH Eersel
Kastrupstraat,29,,,Tilburg,5042TX,16,overige gebruiksfunctie,Kastrupstraat 29   5042TX Tilburg
Elzenlaan,138,,,Dordrecht,3319 VC,88,woonfunctie,Elzenlaan 138   3319 VC Dordrecht
Irissenstraat,2,d,,Sassenheim,2172 TN,20,overige gebruiksfunctie,Irissenstraat 2 d  2172 TN Sassenheim
Appelgaard,36,,,Elst,6662HN,120,woonfunctie,Appelgaard 36   6662HN Elst
Eindhovensedijk,42,D,500,Oirschot,5688GN,438,onderwijsfunctie,Eindhovensedijk 42 D 500 5688GN Oirschot
Leo Gestelstraat,7,,,Ede,6717 RH,96,woonfunctie,Leo Gestelstraat 7   6717 RH Ede
Witte de Withstraat,288,A,,Dordrecht,,30,overige gebruiksfunctie,Witte de Withstraat 288 A   Dordrecht
Houtzagerij,1,,,Waalre,5582GW,116,woonfunctie,Houtzagerij 1   5582GW Waalre
Dorpsstraat,140,,,Benthuizen,2731AT,182,woonfunctie,Dorpsstraat 140   2731AT Benthuizen
Tolstraat,154,,1R,Amsterdam,1074 VM,58,woonfunctie,Tolstraat 154  1R 1074 VM Amsterdam
Koppelen,16,,,Steensel,5524AB,289,woonfunctie,Koppelen 16   5524AB Steensel
Bronkhorstdreef,10,,,Roosendaal,4706 VB,190,woonfunctie,Bronkhorstdreef 10   4706 VB Roosendaal
Maaldrift,9,C,044,Wassenaar,2241BN,-1,,Maaldrift 9 C 044 2241BN Wassenaar
Keurhove,86,,,Middelburg,4336 GR,111,woonfunctie,Keurhove 86   4336 GR Middelburg
Dokter Holtropstraat,79,,,Ermelo,3851JH,75,woonfunctie,Dokter Holtropstraat 79   3851JH Ermelo
Merodestraat,24,,,Stein,6171XN,82,woonfunctie,Merodestraat 24   6171XN Stein
Bisschop Masiusstraat,13,,,Tilburg,5014 PA,90,woonfunctie,Bisschop Masiusstraat 13   5014 PA Tilburg
Taling,7,,,Grijpskerk,9843GH,142,woonfunctie,Taling 7   9843GH Grijpskerk
Dr Wiardi Beckmanlaan,99,,,Egmond aan Zee,1931BX,93,woonfunctie,Dr Wiardi Beckmanlaan 99   1931BX Egmond aan Zee
Emmastraat,2,,,Axel,4571 LC,132,woonfunctie,Emmastraat 2   4571 LC Axel
Aan het beeldje,2,,,Gronsveld,6247 JA,240,woonfunctie,Aan het beeldje 2   6247 JA Gronsveld
Grote Houw,299,,,Breda,4817 RG,145,woonfunctie,Grote Houw 299   4817 RG Breda
Burgerhoutsestraat,159,d,,Roosendaal,4702BD,50,woonfunctie,Burgerhoutsestraat 159 d  4702BD Roosendaal
Lucas van Leydenhage,50,,,Nieuwegein,3437NT,110,woonfunctie,Lucas van Leydenhage 50   3437NT Nieuwegein
Julius Röntgenstraat,108,,,'s-Gravenhage,2551KV,16,overige gebruiksfunctie,Julius Röntgenstraat 108   2551KV 's-Gravenhage
Touwslagersdreef,16,D,,Maastricht,6216PZ,86,woonfunctie,Touwslagersdreef 16 D  6216PZ Maastricht
Moermanskkade,81,,,Amsterdam,1013 BC,843,industriefunctie,Moermanskkade 81   1013 BC Amsterdam
Olijvengaarde,24,,,Houten,3992 KN,68,woonfunctie,Olijvengaarde 24   3992 KN Houten
Barmsijs,18,,,Nieuwegein,3435BN,64,woonfunctie,Barmsijs 18   3435BN Nieuwegein
Engelandsweg,1,,,Wezep,8091 BA,754,winkelfunctie,Engelandsweg 1   8091 BA Wezep
Tielsestraat,1,,,Opheusden,4043JP,120,woonfunctie,Tielsestraat 1   4043JP Opheusden
Mozartstraat,6,a,,Zutphen,7204 PE,33,woonfunctie,Mozartstraat 6 a  7204 PE Zutphen
Weerribben,33,,,Zeewolde,3894 BE,133,woonfunctie,Weerribben 33   3894 BE Zeewolde
Emmastraat,18,,,Helmond,5707HG,147,woonfunctie,Emmastraat 18   5707HG Helmond
Godelindeweg,1,,A15,Naarden,1411 GG,104,woonfunctie,Godelindeweg 1  A15 1411 GG Naarden
Groeneweg,1,,0075,Bruinisse,4311 NG,77,logiesfunctie,Groeneweg 1  0075 4311 NG Bruinisse
Kromme Leimuidenstraat,15,,1,Amsterdam,1059EL,54,woonfunctie,Kromme Leimuidenstraat 15  1 1059EL Amsterdam
Papenstraat,78,,,Deventer,7411NG,78,woonfunctie,Papenstraat 78   7411NG Deventer
Leeuwenbrug,51,,,Deventer,7411TG,119,kantoorfunctie,Leeuwenbrug 51   7411TG Deventer
Eisingahof,39,,,Tilburg,5025 DN,115,woonfunctie,Eisingahof 39   5025 DN Tilburg
Huub Hermansstraat,46,,,Vaals,6291LN,188,woonfunctie,Huub Hermansstraat 46   6291LN Vaals
Nienhuis Ruijskade,37,,,Muiderberg,1399KA,120,woonfunctie,Nienhuis Ruijskade 37   1399KA Muiderberg
Nieuwstraat,2,,,Wessem,6019 BV,153,woonfunctie,Nieuwstraat 2   6019 BV Wessem
Lingestraat,78,,,Ridderkerk,2987 CG,115,woonfunctie,Lingestraat 78   2987 CG Ridderkerk
de Vree,31,,,Wapenveld,8191JE,81,woonfunctie,de Vree 31   8191JE Wapenveld
Dantestraat,464,,,Rotterdam,3076KV,166,gezondheidszorgfunctie,Dantestraat 464   3076KV Rotterdam
Oranjeplein,80,C,,Maastricht,6224 KP,81,woonfunctie,Oranjeplein 80 C  6224 KP Maastricht
Welpenheuvel,6,,,De Mortel,5425 PL,158,woonfunctie,Welpenheuvel 6   5425 PL De Mortel
Johan Schippersplantsoen,11,,3,Amsterdam,1063 JZ,52,woonfunctie,Johan Schippersplantsoen 11  3 1063 JZ Amsterdam
Koriander,2,,,Numansdorp,3281MD,114,woonfunctie,Koriander 2   3281MD Numansdorp
Dirkje Goedhartstraat,41,,,Rotterdam,3065HH,107,woonfunctie,Dirkje Goedhartstraat 41   3065HH Rotterdam
Zwanenveld,2295,,,Nijmegen,6538PS,88,woonfunctie,Zwanenveld 2295   6538PS Nijmegen
Merelstraat,10,,,Krimpen aan den IJssel,2922VJ,82,woonfunctie,Merelstraat 10   2922VJ Krimpen aan den IJssel
Lavendellaan,10,,,Eindhoven,5643 LT,147,woonfunctie,Lavendellaan 10   5643 LT Eindhoven
De Waard,1,,,Heiloo,1851RA,172,woonfunctie,De Waard 1   1851RA Heiloo
Kamperfoeliestraat,7,,,Odoorn,7873 AT,124,woonfunctie,Kamperfoeliestraat 7   7873 AT Odoorn
Zebraspoor,194,,,Maarssen,3605 GL,100,woonfunctie,Zebraspoor 194   3605 GL Maarssen
Wethouder Broekenstraat,4,,,Made,4921TZ,110,woonfunctie,Wethouder Broekenstraat 4   4921TZ Made
Burggraaf Zwederlaan,54,,,Montfoort,3417 AK,155,woonfunctie,Burggraaf Zwederlaan 54   3417 AK Montfoort
Merenborch,70,,,Vianen,4132HC,184,woonfunctie,Merenborch 70   4132HC Vianen
Apollostraat,517,,,Rotterdam,3054 TC,71,woonfunctie,Apollostraat 517   3054 TC Rotterdam
Wijnstraat,13,,,Dordrecht,3311BT,104,woonfunctie,Wijnstraat 13   3311BT Dordrecht
Hippolytushof,1,,113,Middelstum,9991AV,30,woonfunctie,Hippolytushof 1  113 9991AV Middelstum
Lidwinastraat,9,,,Kelpen-Oler,6037 RT,127,woonfunctie,Lidwinastraat 9   6037 RT Kelpen-Oler
Scholtis vd Hardtstraat,2,,GA10,Stein,,18,overige gebruiksfunctie,Scholtis vd Hardtstraat 2  GA10  Stein
Akkerhof,6,,,Leiden,2321 VD,112,woonfunctie,Akkerhof 6   2321 VD Leiden
Lelie,91,,,Voorhout,2215ZC,110,woonfunctie,Lelie 91   2215ZC Voorhout
Statenlaan,48,,,Helmond,5708 ZW,136,woonfunctie,Statenlaan 48   5708 ZW Helmond
Margrietstraat,36,,,Druten,6651 XG,108,woonfunctie,Margrietstraat 36   6651 XG Druten
Bergselaan,91,B,,Rotterdam,3037BC,100,woonfunctie,Bergselaan 91 B  3037BC Rotterdam
Kostverlorenstraat,22,,,Nieuwe Niedorp,1733 VH,152,woonfunctie,Kostverlorenstraat 22   1733 VH Nieuwe Niedorp
De Omloop,2,,,Sint Maarten,1744LC,130,woonfunctie,De Omloop 2   1744LC Sint Maarten
Industrieweg,5,G,,Oirschot,5688 DP,218,industriefunctie,Industrieweg 5 G  5688 DP Oirschot
Cornelis Evertsenplein,22,,,Alkmaar,1813 VJ,45,woonfunctie,Cornelis Evertsenplein 22   1813 VJ Alkmaar
